"searchTerm","semanticTags","confidence","annotatedProperty.propertyValue","derivedFrom.provenance.source.type"
"Orange juice, from concentrate","http://purl.obolibrary.org/obo/FOODON_03301878","MEDIUM","imitation orange juice from frozen concentrate","ONTOLOGY"
"Sweet potato, baked","http://purl.obolibrary.org/obo/FOODON_03302196","GOOD","potato (whole, baked)","ONTOLOGY"
"Walkers Quavers Cheese Snacks 20g","http://purl.obolibrary.org/obo/FOODON_03401293","MEDIUM","USDA SR snacks (2500)","ONTOLOGY"
"Walkers Quavers Cheese Snacks 20g","http://purl.obolibrary.org/obo/FOODON_03401108","MEDIUM","50192100 - snacks (gs1 gpc)","ONTOLOGY"
"Hall's Haggis 454g","http://purl.obolibrary.org/obo/FOODON_00002826","GOOD","haggis","ONTOLOGY"
"Tortilla, wheat flour, soft","http://purl.obolibrary.org/obo/FOODON_03307944","MEDIUM","tortilla flour","ONTOLOGY"
"Tortilla, wheat flour, soft","http://purl.obolibrary.org/obo/FOODON_03301116","MEDIUM","wheat flour","ONTOLOGY"
"Cheese, Cheddar type, 30% less fat","http://purl.obolibrary.org/obo/FOODON_03311360","MEDIUM","cheddar cheese (reduced fat)","ONTOLOGY"
"Cheese, Cheddar type, 30% less fat","http://purl.obolibrary.org/obo/FOODON_03302458","MEDIUM","cheddar cheese","ONTOLOGY"
"Chilli con carne, homemade","http://purl.obolibrary.org/obo/FOODON_03301511","MEDIUM","chili con carne (dish)","ONTOLOGY"
"Chilli con carne, homemade","http://purl.obolibrary.org/obo/FOODON_03317304","MEDIUM","chili con carne with beans (dish, vegetarian)","ONTOLOGY"
"Cathedral City 82 Big Slice Half Fat Mature Cheese 150g","http://purl.obolibrary.org/obo/FOODON_03311032","MEDIUM","cheese fat","ONTOLOGY"
"Cathedral City 82 Big Slice Half Fat Mature Cheese 150g","http://purl.obolibrary.org/obo/FOODON_03316333","MEDIUM","margarine (half-fat)","ONTOLOGY"
"Skips Tingly Prawn Cocktail Flavour 6 x 13.1g","http://purl.obolibrary.org/obo/FOODON_03544268","GOOD","42680 - fruit cocktail flavour (efsa foodex2)","ONTOLOGY"
"Cadbury Double Decker Chocolate Bar 54.5g","http://purl.obolibrary.org/obo/FOODON_03303932","MEDIUM","chocolate mint candy bar","ONTOLOGY"
"Cadbury Double Decker Chocolate Bar 54.5g","http://purl.obolibrary.org/obo/FOODON_03311018","MEDIUM","chocolate bar (artificially sweetened)","ONTOLOGY"
"Sausages, pork, chilled, grilled","http://purl.obolibrary.org/obo/FOODON_03401692","MEDIUM","10005840 - pork sausages - prepared/processed (gs1 gpc)","ONTOLOGY"
"Sausages, pork, chilled, grilled","http://purl.obolibrary.org/obo/FOODON_03317226","MEDIUM","caviar (chilled)","ONTOLOGY"
"Eggs, chicken, whole, fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03311693","MEDIUM","tomato (dried in sunflower oil)","ONTOLOGY"
"Eggs, chicken, whole, fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03542978","MEDIUM","29780 - fried eggs (efsa foodex2)","ONTOLOGY"
"Strawberries, raw","http://purl.obolibrary.org/obo/FOODON_03401447","MEDIUM","10005921 - strawberries (gs1 gpc)","ONTOLOGY"
"Strawberries, raw","http://purl.obolibrary.org/obo/FOODON_03541538","MEDIUM","15380 - strawberries (efsa foodex2)","ONTOLOGY"
"Green Giant Original Corn 198g","http://purl.obolibrary.org/obo/NCBITaxon_181181","MEDIUM","Buglossoides arvensis","ONTOLOGY"
"Green Giant Original Corn 198g","http://purl.obolibrary.org/obo/NCBITaxon_36103","MEDIUM","Haliotis tuberculata","ONTOLOGY"
"Spinach, baby, raw","http://purl.obolibrary.org/obo/FOODON_00002977","MEDIUM","baby spinach","ONTOLOGY"
"Spinach, baby, raw","http://purl.obolibrary.org/obo/FOODON_03301716","MEDIUM","spinach leaf (whole, raw)","ONTOLOGY"
"Gino d'Acampo Aubergine Parmigiana 425g","http://purl.obolibrary.org/obo/NCBITaxon_4111","GOOD","Solanum melongena","ONTOLOGY"
"New York Bakery Co. 5 The Original Bagels","http://purl.obolibrary.org/obo/ENVO_00003864","MEDIUM","bakery","ONTOLOGY"
"New York Bakery Co. 5 The Original Bagels","http://purl.obolibrary.org/obo/GAZ_00002514","MEDIUM","State of New York","ONTOLOGY"
"Galaxy Smooth Milk Chocolate Bar 42g","http://purl.obolibrary.org/obo/FOODON_00003879","MEDIUM","milk chocolate bar","ONTOLOGY"
"Galaxy Smooth Milk Chocolate Bar 42g","http://purl.obolibrary.org/obo/FOODON_03303766","MEDIUM","milk chocolate-flavored candy bar","ONTOLOGY"
"Biscuit, chocolate chip / chocolate wafer SHS Loprofin","http://purl.obolibrary.org/obo/FOODON_03304096","MEDIUM","chocolate chip","ONTOLOGY"
"Biscuit, chocolate chip / chocolate wafer SHS Loprofin","http://purl.obolibrary.org/obo/FOODON_03304370","MEDIUM","butter biscuit and chocolate","ONTOLOGY"
"Mangoes, ripe, raw, flesh only","http://purl.obolibrary.org/obo/FOODON_03308678","MEDIUM","fish flesh (gill area, raw)","ONTOLOGY"
"Mangoes, ripe, raw, flesh only","http://purl.obolibrary.org/obo/FOODON_03530052","MEDIUM","ripe","ONTOLOGY"
"Chicken, breast, grilled, meat and skin","http://purl.obolibrary.org/obo/FOODON_03420266","MEDIUM","skeletal meat part, with bone, without skin","ONTOLOGY"
"Chicken, breast, grilled, meat and skin","http://purl.obolibrary.org/obo/FOODON_03420265","MEDIUM","skeletal meat part, with bone, with skin","ONTOLOGY"
"Sausage roll, flaky pastry, ready-to-eat, retail","http://purl.obolibrary.org/obo/FOODON_03315481","MEDIUM","spring roll pastry case","ONTOLOGY"
"Sausage roll, flaky pastry, ready-to-eat, retail","http://purl.obolibrary.org/obo/FOODON_03543950","MEDIUM","39500 - sausage roll (efsa foodex2)","ONTOLOGY"
"Hartley's Best of Raspberry Seedless Jam 300g","http://purl.obolibrary.org/obo/FOODON_00002189","MEDIUM","raspberry preserve or jam","ONTOLOGY"
"Hartley's Best of Raspberry Seedless Jam 300g","http://purl.obolibrary.org/obo/FOODON_03305865","MEDIUM","raspberry jam","ONTOLOGY"
"Peanut butter, smooth","http://purl.obolibrary.org/obo/FOODON_03306867","MEDIUM","peanut butter","ONTOLOGY"
"Peanut butter, smooth","http://purl.obolibrary.org/obo/FOODON_03311620","MEDIUM","cookie, peanut butter","ONTOLOGY"
"Asparagus, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","GOOD","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Cauliflower, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","GOOD","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Cheese sauce, made with whole milk, homemade","http://purl.obolibrary.org/obo/FOODON_03301788","MEDIUM","mozzarella cheese (made with whole milk, natural)","ONTOLOGY"
"Cheese sauce, made with whole milk, homemade","http://purl.obolibrary.org/obo/FOODON_03307169","MEDIUM","cranberry sauce made with whole cranberries","ONTOLOGY"
"Muffins, blueberry","http://purl.obolibrary.org/obo/NCBITaxon_69266","MEDIUM","Vaccinium corymbosum","ONTOLOGY"
"Muffins, blueberry","http://purl.obolibrary.org/obo/NCBITaxon_472369","MEDIUM","Vaccinium angustifolium","ONTOLOGY"
"Sainsbury's Frozen Summer Fruits 500g","http://purl.obolibrary.org/obo/FOODON_03401349","MEDIUM","50270100 - fruits - unprepared/unprocessed (frozen) (gs1 gpc)","ONTOLOGY"
"Sainsbury's Frozen Summer Fruits 500g","http://purl.obolibrary.org/obo/FOODON_03401394","MEDIUM","50270000 - fruits - unprepared/unprocessed (frozen) (gs1 gpc)","ONTOLOGY"
"Egg, fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03480038","MEDIUM","packed in olive oil","ONTOLOGY"
"Egg, fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03302307","MEDIUM","anchovy in olive oil","ONTOLOGY"
"Sandwich, white bread, ham salad","http://purl.obolibrary.org/obo/FOODON_00003888","MEDIUM","salad sandwich","ONTOLOGY"
"Sandwich, white bread, ham salad","http://purl.obolibrary.org/obo/FOODON_03307807","MEDIUM","ham sandwich","ONTOLOGY"
"Pie, fish, white fish, retail, baked","http://purl.obolibrary.org/obo/FOODON_03530056","MEDIUM","white fish flesh","ONTOLOGY"
"Pie, fish, white fish, retail, baked","http://purl.obolibrary.org/obo/FOODON_03411222","MEDIUM","fish","ONTOLOGY"
"Biscuits, digestive, with oats, plain","http://purl.obolibrary.org/obo/FOODON_03540238","GOOD","02380 - biscuits, sweet, plain (efsa foodex2)","ONTOLOGY"
"Tesco Chocolate Malted Milk Biscuits 250G","http://purl.obolibrary.org/obo/FOODON_03304531","MEDIUM","chocolate malted milk","ONTOLOGY"
"Tesco Chocolate Malted Milk Biscuits 250G","http://purl.obolibrary.org/obo/FOODON_03301818","MEDIUM","malted cow milk","ONTOLOGY"
"Potatoes, hash brown","http://purl.obolibrary.org/obo/FOODON_03310607","GOOD","potato hash brown","ONTOLOGY"
"Sainsbury's Takeaway Fully Loaded BBQ Chicken Pizza 563g","http://purl.obolibrary.org/obo/FOODON_00003937","MEDIUM","barbecue chicken pizza","ONTOLOGY"
"Sainsbury's Takeaway Fully Loaded BBQ Chicken Pizza 563g","http://purl.obolibrary.org/obo/FOODON_00003935","MEDIUM","chicken pesto pizza","ONTOLOGY"
"Shortcake, caramel, chocolate covered, retail","http://purl.obolibrary.org/obo/FOODON_03303400","MEDIUM","chocolate-covered nut and caramel candy bar","ONTOLOGY"
"Shortcake, caramel, chocolate covered, retail","http://purl.obolibrary.org/obo/FOODON_03306711","MEDIUM","chocolate-covered cookie","ONTOLOGY"
"Hovis Digestive Biscuits with Wheatgerm 250g","http://purl.obolibrary.org/obo/FOODON_03400936","MEDIUM","50182100 - biscuits/cookies (gs1 gpc)","ONTOLOGY"
"Hovis Digestive Biscuits with Wheatgerm 250g","http://purl.obolibrary.org/obo/FOODON_03540237","MEDIUM","02370 - biscuits (efsa foodex2)","ONTOLOGY"
"Beef, topside, roasted well-done, lean","http://purl.obolibrary.org/obo/FOODON_03311662","MEDIUM","beef (roasted)","ONTOLOGY"
"Beef, topside, roasted well-done, lean","http://purl.obolibrary.org/obo/FOODON_03310840","MEDIUM","beef (raw, lean)","ONTOLOGY"
"Carrots, old, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","GOOD","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Yorkshire pudding, made with skimmed milk, homemade","http://purl.obolibrary.org/obo/FOODON_03315633","MEDIUM","milk with added milk solids (partly skimmed)","ONTOLOGY"
"Yorkshire pudding, made with skimmed milk, homemade","http://purl.obolibrary.org/obo/FOODON_03315634","MEDIUM","milk with added milk solids (partly skimmed, flavored)","ONTOLOGY"
"Sainsbury's Beef Gravy 300g","http://purl.obolibrary.org/obo/FOODON_03310598","MEDIUM","beef gravy","ONTOLOGY"
"Sainsbury's Beef Gravy 300g","http://purl.obolibrary.org/obo/FOODON_03311381","MEDIUM","beef with gravy","ONTOLOGY"
"Eggs, chicken, scrambled, with semi-skimmed milk","http://purl.obolibrary.org/obo/FOODON_03307458","MEDIUM","cow milk (semi-skimmed)","ONTOLOGY"
"Eggs, chicken, scrambled, with semi-skimmed milk","http://purl.obolibrary.org/obo/FOODON_03315630","MEDIUM","cow milk (semi-skimmed, flavored)","ONTOLOGY"
"Onions, fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03480038","MEDIUM","packed in olive oil","ONTOLOGY"
"Onions, fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03302307","MEDIUM","anchovy in olive oil","ONTOLOGY"
"Sainsbury's Carrot & Coriander Soup 600g","http://purl.obolibrary.org/obo/FOODON_03411227","GOOD","carrot plant","ONTOLOGY"
"Sainsbury's Tomato & Basil Soup 600g","http://purl.obolibrary.org/obo/NCBITaxon_4081","MEDIUM","Solanum lycopersicum","ONTOLOGY"
"Sainsbury's Tomato & Basil Soup 600g","http://purl.obolibrary.org/obo/NCBITaxon_160708","MEDIUM","Cephalopholis sonnerati","ONTOLOGY"
"Bread, Hovis, Seven Seed original","http://purl.obolibrary.org/obo/FOODON_03304834","GOOD","chia seed bread","ONTOLOGY"
"Butter, unsalted","http://purl.obolibrary.org/obo/FOODON_03301777","MEDIUM","butter (unsalted)","ONTOLOGY"
"Butter, unsalted","http://purl.obolibrary.org/obo/FOODON_03306855","MEDIUM","peanut butter (unsalted)","ONTOLOGY"
"Potato chips, fine cut, from fast food outlets","http://purl.obolibrary.org/obo/FOODON_03543891","MEDIUM","38910 - french fries from cut potato (efsa foodex2)","ONTOLOGY"
"Potato chips, fine cut, from fast food outlets","http://purl.obolibrary.org/obo/FOODON_03316164","MEDIUM","potato (peeled, cut, cooked)","ONTOLOGY"
"Bagels, plain, white, toasted","http://purl.obolibrary.org/obo/FOODON_00002659","MEDIUM","food (toasted)","ONTOLOGY"
"Bagels, plain, white, toasted","http://purl.obolibrary.org/obo/FOODON_03309760","MEDIUM","soyflake (defatted, toasted)","ONTOLOGY"
"Sainsbury's Snack Pork Pie 65g","http://purl.obolibrary.org/obo/FOODON_03315963","MEDIUM","snack (prepacked)","ONTOLOGY"
"Sainsbury's Snack Pork Pie 65g","http://purl.obolibrary.org/obo/FOODON_00003311","MEDIUM","rawhide snack","ONTOLOGY"
"Bread, wholemeal, toasted","http://purl.obolibrary.org/obo/FOODON_03540154","MEDIUM","01540 - crisp bread, wheat, wholemeal (efsa foodex2)","ONTOLOGY"
"Bread, wholemeal, toasted","http://purl.obolibrary.org/obo/FOODON_03540151","MEDIUM","01510 - crisp bread, rye wholemeal (efsa foodex2)","ONTOLOGY"
"Nutella, Hazelnut spread with Cocoa","http://purl.obolibrary.org/obo/FOODON_03311761","MEDIUM","hazelnut chocolate spread","ONTOLOGY"
"Nutella, Hazelnut spread with Cocoa","http://purl.obolibrary.org/obo/FOODON_03317058","MEDIUM","sandwich spread with no added sugar (cocoa-based)","ONTOLOGY"
"Omelette with tomato and cheese","http://purl.obolibrary.org/obo/FOODON_03304267","GOOD","spaghetti in tomato and cheese sauce","ONTOLOGY"
"Mushrooms, fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03480038","MEDIUM","packed in olive oil","ONTOLOGY"
"Mushrooms, fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03302307","MEDIUM","anchovy in olive oil","ONTOLOGY"
"Beef, rump steak, strips, stir-fried in corn oil, lean","http://purl.obolibrary.org/obo/FOODON_00003029","MEDIUM","beef steak","ONTOLOGY"
"Beef, rump steak, strips, stir-fried in corn oil, lean","http://purl.obolibrary.org/obo/FOODON_00002573","MEDIUM","beef rump cut (british)","ONTOLOGY"
"Biscuits, cookies, chocolate chip, standard","http://purl.obolibrary.org/obo/FOODON_03304096","MEDIUM","chocolate chip","ONTOLOGY"
"Biscuits, cookies, chocolate chip, standard","http://purl.obolibrary.org/obo/FOODON_03400936","MEDIUM","50182100 - biscuits/cookies (gs1 gpc)","ONTOLOGY"
"Risotto, white rice, vegetable, homemade","http://purl.obolibrary.org/obo/FOODON_00003238","MEDIUM","risotto","ONTOLOGY"
"Risotto, white rice, vegetable, homemade","http://purl.obolibrary.org/obo/FOODON_03316168","MEDIUM","vegetable (white, frozen)","ONTOLOGY"
"Sainsbury's Strawberry Conserve & Cream Victoria Sponge 340g","http://purl.obolibrary.org/obo/FOODON_03305243","GOOD","strawberry conserve","ONTOLOGY"
"Fish fingers, cod, grilled/baked","http://purl.obolibrary.org/obo/FOODON_03316884","MEDIUM","fish (grilled)","ONTOLOGY"
"Fish fingers, cod, grilled/baked","http://purl.obolibrary.org/obo/FOODON_03316916","MEDIUM","fish (grilled, vacuum packed)","ONTOLOGY"
"Burger, beef, fried in rapeseed oil, homemade","http://purl.obolibrary.org/obo/FOODON_03311130","MEDIUM","shrimp (breaded, fried, homemade)","ONTOLOGY"
"Burger, beef, fried in rapeseed oil, homemade","http://purl.obolibrary.org/obo/FOODON_03310482","MEDIUM","rapeseed oil","ONTOLOGY"
"Doner kebabs, meat only","http://purl.obolibrary.org/obo/FOODON_03543923","MEDIUM","39230 - doner kebab (efsa foodex2)","ONTOLOGY"
"Doner kebabs, meat only","http://purl.obolibrary.org/obo/FOODON_03309475","MEDIUM","meat trimming","ONTOLOGY"
"Flapjacks, retail, chocolate covered","http://purl.obolibrary.org/obo/FOODON_03306711","MEDIUM","chocolate-covered cookie","ONTOLOGY"
"Flapjacks, retail, chocolate covered","http://purl.obolibrary.org/obo/FOODON_03309829","MEDIUM","chocolate-covered peanut","ONTOLOGY"
"Heinz Minestrone Soup 400g","http://purl.obolibrary.org/obo/FOODON_03304952","MEDIUM","minestrone soup","ONTOLOGY"
"Heinz Minestrone Soup 400g","http://purl.obolibrary.org/obo/FOODON_03304089","MEDIUM","minestrone soup with meat","ONTOLOGY"
"Sainsbury's Roast Chicken Breast Slices 160g","http://purl.obolibrary.org/obo/FOODON_00002703","MEDIUM","chicken breast","ONTOLOGY"
"Sainsbury's Roast Chicken Breast Slices 160g","http://purl.obolibrary.org/obo/FOODON_00003364","MEDIUM","chicken breast (skinless, boneless)","ONTOLOGY"
"Burger, Big Mac, takeaway","http://purl.obolibrary.org/obo/FOODON_00003177","MEDIUM","vegetarian burger","ONTOLOGY"
"Burger, Big Mac, takeaway","http://purl.obolibrary.org/obo/FOODON_03311366","MEDIUM","buffalo burger","ONTOLOGY"
"Omelette with ham and cheese","http://purl.obolibrary.org/obo/FOODON_03309561","MEDIUM","macaroni and cheese with ham","ONTOLOGY"
"Omelette with ham and cheese","http://purl.obolibrary.org/obo/FOODON_03304753","MEDIUM","pasteurized process cheese food with ham","ONTOLOGY"
"Chicken breast, cooked in olive oil, homemade","http://purl.obolibrary.org/obo/FOODON_03480038","MEDIUM","packed in olive oil","ONTOLOGY"
"Chicken breast, cooked in olive oil, homemade","http://purl.obolibrary.org/obo/FOODON_03311140","MEDIUM","chicken breast (cooked)","ONTOLOGY"
"Peppers, capsicum, green, raw","http://purl.obolibrary.org/obo/FOODON_03301174","GOOD","capsicum pepper (whole, raw)","ONTOLOGY"
"Cashew nuts, kernel only, roasted and salted","http://purl.obolibrary.org/obo/FOODON_03309827","GOOD","peanut (whole, skin off, salted, roasted)","ONTOLOGY"
"Chocolate, white","http://purl.obolibrary.org/obo/FOODON_03302909","MEDIUM","white chocolate coating","ONTOLOGY"
"Chocolate, white","http://purl.obolibrary.org/obo/FOODON_03301329","MEDIUM","white chocolate","ONTOLOGY"
"Young's Admirals fish pie","http://purl.obolibrary.org/obo/FOODON_03411222","GOOD","fish","ONTOLOGY"
"Bread, white, average","http://purl.obolibrary.org/obo/FOODON_03301055","MEDIUM","white bread","ONTOLOGY"
"Bread, white, average","http://purl.obolibrary.org/obo/FOODON_03311120","MEDIUM","white bread crust","ONTOLOGY"
"Ham, sliced / lunchon","http://purl.obolibrary.org/obo/FOODON_03311694","MEDIUM","ham (sliced, cooked)","ONTOLOGY"
"Ham, sliced / lunchon","http://purl.obolibrary.org/obo/FOODON_03306417","MEDIUM","ham (sliced, raw)","ONTOLOGY"
"Asda Full Fat Greek Style Yogurt with Honey 450g","http://purl.obolibrary.org/obo/FOODON_03307141","MEDIUM","olive (greek-style)","ONTOLOGY"
"Asda Full Fat Greek Style Yogurt with Honey 450g","http://purl.obolibrary.org/obo/FOODON_03307443","MEDIUM","yogurt with fruit","ONTOLOGY"
"Breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk","http://purl.obolibrary.org/obo/FOODON_03310774","MEDIUM","breakfast cereal (fortified, hot)","ONTOLOGY"
"Breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk","http://purl.obolibrary.org/obo/FOODON_03311153","MEDIUM","breakfast cereal (oat-based)","ONTOLOGY"
"Fish Burgers","http://purl.obolibrary.org/obo/FOODON_03411222","GOOD","fish","ONTOLOGY"
"Frankfurter with bun","http://purl.obolibrary.org/obo/FOODON_03307053","MEDIUM","frankfurter (in bun)","ONTOLOGY"
"Frankfurter with bun","http://purl.obolibrary.org/obo/FOODON_03307769","MEDIUM","frankfurter (cooked, in bun, frozen)","ONTOLOGY"
"Chicken portions, battered, deep fried, takeaway","http://purl.obolibrary.org/obo/FOODON_03311611","MEDIUM","chicken (battered, deep-fried)","ONTOLOGY"
"Chicken portions, battered, deep fried, takeaway","http://purl.obolibrary.org/obo/FOODON_03307827","MEDIUM","chicken (fried)","ONTOLOGY"
"Heinz Classic Lentil Soup 400g","http://purl.obolibrary.org/obo/FOODON_03309463","GOOD","lentil soup","ONTOLOGY"
"St Pierre 6 Brioche Hot Dog Rolls Pre-cut","http://purl.obolibrary.org/obo/FOODON_00001009","MEDIUM","hot dog","ONTOLOGY"
"St Pierre 6 Brioche Hot Dog Rolls Pre-cut","http://purl.obolibrary.org/obo/FOODON_03306935","MEDIUM","hot dog relish","ONTOLOGY"
"Cake, sponge, homemade","http://purl.obolibrary.org/obo/FOODON_03315342","MEDIUM","cake (sponge)","ONTOLOGY"
"Cake, sponge, homemade","http://purl.obolibrary.org/obo/FOODON_03540256","MEDIUM","02560 - sponge cake (efsa foodex2)","ONTOLOGY"
"New Covent Garden Soup Co. Smoked Haddock Chowder 600g","http://purl.obolibrary.org/obo/FOODON_03304948","MEDIUM","fish chowder soup base","ONTOLOGY"
"New Covent Garden Soup Co. Smoked Haddock Chowder 600g","http://purl.obolibrary.org/obo/FOODON_03303346","MEDIUM","fish chowder soup mix","ONTOLOGY"
"Waitrose Fine Green Beans 300g","http://purl.obolibrary.org/obo/FOODON_03543406","GOOD","34060 - coffee beans, green (efsa foodex2)","ONTOLOGY"
"Burger, chicken, takeaway","http://purl.obolibrary.org/obo/FOODON_03303010","MEDIUM","chicken burger","ONTOLOGY"
"Burger, chicken, takeaway","http://purl.obolibrary.org/obo/FOODON_03311366","MEDIUM","buffalo burger","ONTOLOGY"
"Prawns, standard, purchased cooked","http://purl.obolibrary.org/obo/FOODON_03542645","MEDIUM","26450 - dried shrimps and prawns (efsa foodex2)","ONTOLOGY"
"Prawns, standard, purchased cooked","http://purl.obolibrary.org/obo/FOODON_03542490","MEDIUM","24900 - freshwater shrimps or prawns (efsa foodex2)","ONTOLOGY"
"Beans, butter, canned, re-heated, drained","http://purl.obolibrary.org/obo/FOODON_03311260","MEDIUM","lobster meat (canned, drained)","ONTOLOGY"
"Beans, butter, canned, re-heated, drained","http://purl.obolibrary.org/obo/FOODON_03301466","MEDIUM","pork and beans (canned)","ONTOLOGY"
"Patak's Korma Spice Paste 290g","http://purl.obolibrary.org/obo/FOODON_03303380","MEDIUM","spice","ONTOLOGY"
"Patak's Korma Spice Paste 290g","http://purl.obolibrary.org/obo/FOODON_03301548","MEDIUM","spice (ground)","ONTOLOGY"
"Almond Milk, unsweetened","http://purl.obolibrary.org/obo/FOODON_00003157","MEDIUM","almond milk","ONTOLOGY"
"Almond Milk, unsweetened","http://purl.obolibrary.org/obo/FOODON_03542721","MEDIUM","27210 - evaporated milk (liquid, unsweetened) (efsa foodex2)","ONTOLOGY"
"Pistachio nuts, roasted, unsalted, kernels only","http://purl.obolibrary.org/obo/FOODON_03303529","GOOD","cold-pack cheese food with pistachio nuts","ONTOLOGY"
"Eat Real Lentil Chips Sea Salt Flavour 113g","http://purl.obolibrary.org/obo/FOODON_03544369","GOOD","43690 - sea buckthorn flavour (efsa foodex2)","ONTOLOGY"
"Heinz Cream of Chicken & Mushroom 400g","http://purl.obolibrary.org/obo/FOODON_03304199","MEDIUM","cream of chicken soup (condensed)","ONTOLOGY"
"Heinz Cream of Chicken & Mushroom 400g","http://purl.obolibrary.org/obo/FOODON_03305127","MEDIUM","cream of chicken soup","ONTOLOGY"
"Burger, beef, 98-99% beef, grilled","http://purl.obolibrary.org/obo/FOODON_03310244","MEDIUM","beef (grilled)","ONTOLOGY"
"Burger, beef, 98-99% beef, grilled","http://purl.obolibrary.org/obo/FOODON_00001282","MEDIUM","ground beef food product","ONTOLOGY"
"Sainsbury's Closed Cup Chestnut Mushrooms 250g","http://purl.obolibrary.org/obo/NCBITaxon_5338","MEDIUM","Agaricales","ONTOLOGY"
"Sainsbury's Closed Cup Chestnut Mushrooms 250g","http://purl.obolibrary.org/obo/NCBITaxon_22666","MEDIUM","Trapa natans","ONTOLOGY"
"Morrisons Market St 4 Pork Cheese & Pickle Pies","http://purl.obolibrary.org/obo/FOODON_03303676","MEDIUM","st. paulin cheese","ONTOLOGY"
"Morrisons Market St 4 Pork Cheese & Pickle Pies","http://purl.obolibrary.org/obo/FOODON_00002421","MEDIUM","cambozola cheese","ONTOLOGY"
"Tortilla, wholemeal flour, soft","http://purl.obolibrary.org/obo/FOODON_03307944","MEDIUM","tortilla flour","ONTOLOGY"
"Tortilla, wholemeal flour, soft","http://purl.obolibrary.org/obo/FOODON_03540081","MEDIUM","00810 - rye flour, wholemeal (efsa foodex2)","ONTOLOGY"
"Cathedral City Big Slice Mature Cheese 150g","http://purl.obolibrary.org/obo/FOODON_00002421","GOOD","cambozola cheese","ONTOLOGY"
"Mission Bakery 8 Plain Tortilla Wraps","http://purl.obolibrary.org/obo/FOODON_03307668","GOOD","tortilla","ONTOLOGY"
"Cathedral City Big Slice Mild Cheese 150g","http://purl.obolibrary.org/obo/FOODON_03311331","MEDIUM","cheddar cheese (mild)","ONTOLOGY"
"Cathedral City Big Slice Mild Cheese 150g","http://purl.obolibrary.org/obo/FOODON_00002421","MEDIUM","cambozola cheese","ONTOLOGY"
"Birds Eye 4 Southern Fried Chicken in Breadcrumbs 360g","http://purl.obolibrary.org/obo/FOODON_03307827","GOOD","chicken (fried)","ONTOLOGY"
"Potatoes, old, mashed with butter","http://purl.obolibrary.org/obo/FOODON_03306873","MEDIUM","peanut butter with jelly","ONTOLOGY"
"Potatoes, old, mashed with butter","http://purl.obolibrary.org/obo/FOODON_03306862","MEDIUM","peanut butter with bonemeal","ONTOLOGY"
"Cadbury White Buttons Giant Chocolate Bag 110g","http://purl.obolibrary.org/obo/FOODON_03302909","MEDIUM","white chocolate coating","ONTOLOGY"
"Cadbury White Buttons Giant Chocolate Bag 110g","http://purl.obolibrary.org/obo/FOODON_03301329","MEDIUM","white chocolate","ONTOLOGY"
"Sainsbury's Egg Custard Tarts 4 x 81g (324g)","http://purl.obolibrary.org/obo/FOODON_03302946","GOOD","custard","ONTOLOGY"
"Nachos, cheese, takeaway","http://purl.obolibrary.org/obo/FOODON_00002533","MEDIUM","nachos","ONTOLOGY"
"Nachos, cheese, takeaway","http://purl.obolibrary.org/obo/FOODON_00002421","MEDIUM","cambozola cheese","ONTOLOGY"
"Bacon rashers, middle, grilled","http://purl.obolibrary.org/obo/FOODON_03316884","MEDIUM","fish (grilled)","ONTOLOGY"
"Bacon rashers, middle, grilled","http://purl.obolibrary.org/obo/FOODON_03304118","MEDIUM","onion (grilled)","ONTOLOGY"
"Coconut Raspberry Squares","http://purl.obolibrary.org/obo/NCBITaxon_32247","MEDIUM","Rubus idaeus","ONTOLOGY"
"Coconut Raspberry Squares","http://purl.obolibrary.org/obo/NCBITaxon_13894","MEDIUM","Cocos nucifera","ONTOLOGY"
"Ribena Strawberry 288ml","http://purl.obolibrary.org/obo/NCBITaxon_3747","MEDIUM","Fragaria x ananassa","ONTOLOGY"
"Ribena Strawberry 288ml","http://purl.obolibrary.org/obo/NCBITaxon_57918","MEDIUM","Fragaria vesca","ONTOLOGY"
"Doner kebab in pitta bread with salad","http://purl.obolibrary.org/obo/FOODON_03543923","MEDIUM","39230 - doner kebab (efsa foodex2)","ONTOLOGY"
"Doner kebab in pitta bread with salad","http://purl.obolibrary.org/obo/FOODON_03307696","MEDIUM","potato salad (with egg)","ONTOLOGY"
